feature,feature_label,target_column,reaction_id,reaction_label,spearman_rho,abs_spearman_rho,p_value
log10_e_over_n,log10_e_over_n,rate_const_077,77,H*  > H^,0.9972879614914191,0.9972879614914191,0.0
log10_e_over_n,log10_e_over_n,rate_const_022,22,AR4SM > AR^,0.9972766388257762,0.9972766388257762,0.0
log10_e_over_n,log10_e_over_n,rate_const_127,127,OH- -DETACH,0.9972763058120365,0.9972763058120365,0.0
log10_e_over_n,log10_e_over_n,rate_const_038,38,AR4SPM > AR^,0.9972721764693815,0.9972721764693815,0.0
log10_e_over_n,log10_e_over_n,rate_const_204,204,O- Detachment,0.9972695124045675,0.9972695124045675,0.0
log10_e_over_n,log10_e_over_n,rate_const_021,21,"AR4SM > AR4D,6S,RYD",0.997263784737513,0.997263784737513,0.0
log10_e_over_n,log10_e_over_n,rate_const_046,46,AR4SPR > AR^,0.9972569649463812,0.9972569649463812,0.0
log10_e_over_n,log10_e_over_n,rate_const_030,30,AR4SR > AR^,0.9972490397789401,0.9972490397789401,0.0
log10_e_over_n,log10_e_over_n,rate_const_193,193,E + O2- > O2 + E + E,0.9972400892287933,0.9972400892287933,0.0
log10_e_over_n,log10_e_over_n,rate_const_154,154,E + H2OV > OH + H + E,0.9954960413908844,0.9954960413908844,0.0
log10_e_over_n,log10_e_over_n,rate_const_135,135,E + H2O > OH + H + E,0.9954587217254742,0.9954587217254742,0.0
log10_e_over_n,log10_e_over_n,rate_const_095,95,H2*  > H2^,0.9954488452632088,0.9954488452632088,0.0
log10_e_over_n,log10_e_over_n,rate_const_200,200,O-3p 3P,0.9954462961159483,0.9954462961159483,0.0
log10_e_over_n,log10_e_over_n,rate_const_108,108,OH-A1PI,0.9954422121826224,0.9954422121826224,0.0
log10_e_over_n,log10_e_over_n,rate_const_116,116,OH-A3SIGMA,0.9954419586067204,0.9954419586067204,0.0
log10_e_over_n,log10_e_over_n,rate_const_003,3,AR3S > AR4SR,0.9954343781113473,0.9954343781113473,0.0
log10_e_over_n,log10_e_over_n,rate_const_186,186,O2-ELECTRONIC 10EV,0.9954324429774241,0.9954324429774241,0.0
log10_e_over_n,log10_e_over_n,rate_const_069,69,H > H*,0.9954303076703305,0.9954303076703305,0.0
log10_e_over_n,log10_e_over_n,rate_const_117,117,OH-D3DELTA,0.9954247158999889,0.9954247158999889,0.0
log10_e_over_n,log10_e_over_n,rate_const_002,2,AR3S > AR4SM,0.9954231811823668,0.9954231811823668,0.0
log10_e_over_n,log10_e_over_n,rate_const_198,198,O-3s 3S0,0.9954231678370272,0.9954231678370272,0.0
log10_e_over_n,log10_e_over_n,rate_const_089,89,H2 > H + H,0.9954231544916883,0.9954231544916883,0.0
log10_e_over_n,log10_e_over_n,rate_const_006,6,AR3S > AR4P,0.9954194578534632,0.9954194578534632,0.0
log10_e_over_n,log10_e_over_n,rate_const_197,197,O-3s 5S0,0.9954189107011238,0.9954189107011238,0.0
