model_name,split_strategy,feature_set,overall_r2,mean_target_r2,median_target_r2,flat_rmse,flat_mae,evaluated_target_count,negative_target_fraction
random_forest_150,random_case_split,full_nonconstant_plus_log_en,0.996152168065045,0.9960554888706995,0.9999377524674805,0.3932976242494906,0.02289591533927882,199,0.0
pls_n8,random_case_split,full_nonconstant_plus_log_en,0.8154623466332008,0.8108257221767486,0.8474397244332583,4.60745977007669,2.58700558302137,199,0.010050251256281407
ridge_alpha_1,random_case_split,full_nonconstant_plus_log_en,0.8133300690295934,0.80863986975898,0.8459469823802919,4.6329636246638755,2.5963177350150897,199,0.010050251256281407
linear_regression,random_case_split,full_nonconstant_plus_log_en,0.807354100736195,0.8025137515084612,0.8422488589722769,4.705180427214962,2.629855811714625,199,0.020100502512562814
