global_case_id,density_group_id,local_case_id,cluster_id
140,5,24,0
141,5,25,0
142,5,26,0
143,5,27,0
144,5,28,0
145,5,29,0
146,6,1,1
147,6,2,1
148,6,3,1
149,6,4,1
150,6,5,1
151,6,6,1
152,6,7,0
153,6,8,0
154,6,9,0
155,6,10,0
156,6,11,0
157,6,12,0
158,6,13,0
159,6,14,0
160,6,15,0
161,6,16,0
162,6,17,0
163,6,18,0
164,6,19,0
165,6,20,0
166,6,21,0
167,6,22,0
168,6,23,0
169,6,24,0
170,6,25,0
171,6,26,0
172,6,27,0
173,6,28,0
174,6,29,0
175,7,1,1
176,7,2,1
177,7,3,1
178,7,4,1
179,7,5,1
180,7,6,1
181,7,7,0
182,7,8,0
183,7,9,0
184,7,10,0
185,7,11,0
186,7,12,0
187,7,13,0
188,7,14,0
189,7,15,0
190,7,16,0
191,7,17,0
192,7,18,0
193,7,19,0
194,7,20,0
195,7,21,0
196,7,22,0
197,7,23,0
198,7,24,0
199,7,25,0
200,7,26,0
201,7,27,0
202,7,28,0
203,7,29,0
204,8,1,1
205,8,2,1
206,8,3,1
207,8,4,1
208,8,5,1
209,8,6,1
210,8,7,0
211,8,8,0
212,8,9,0
213,8,10,0
214,8,11,0
215,8,12,0
216,8,13,0
217,8,14,0
218,8,15,0
219,8,16,0
220,8,17,0
221,8,18,0
222,8,19,0
223,8,20,0
224,8,21,0
225,8,22,0
226,8,23,0
227,8,24,0
228,8,25,0
229,8,26,0
230,8,27,0
231,8,28,0
232,8,29,0
233,9,1,1
234,9,2,1
235,9,3,1
236,9,4,1
237,9,5,1
238,9,6,1
239,9,7,0
240,9,8,0
241,9,9,0
242,9,10,0
243,9,11,0
244,9,12,0
245,9,13,0
246,9,14,0
247,9,15,0
248,9,16,0
249,9,17,0
250,9,18,0
251,9,19,0
252,9,20,0
253,9,21,0
254,9,22,0
255,9,23,0
256,9,24,0
257,9,25,0
258,9,26,0
259,9,27,0
260,9,28,0
261,9,29,0
262,10,1,1
263,10,2,1
264,10,3,1
265,10,4,1
266,10,5,1
267,10,6,1
268,10,7,0
269,10,8,0
270,10,9,0
271,10,10,0
272,10,11,0
273,10,12,0
274,10,13,0
275,10,14,0
276,10,15,0
277,10,16,0
278,10,17,0
279,10,18,0
280,10,19,0
281,10,20,0
282,10,21,0
283,10,22,0
284,10,23,0
285,10,24,0
286,10,25,0
287,10,26,0
288,10,27,0
289,10,28,0
290,10,29,0
291,11,1,1
292,11,2,1
293,11,3,1
294,11,4,1
295,11,5,1
296,11,6,1
297,11,7,0
298,11,8,0
299,11,9,0
300,11,10,0
301,11,11,0
302,11,12,0
303,11,13,0
304,11,14,0
305,11,15,0
306,11,16,0
307,11,17,0
308,11,18,0
309,11,19,0
310,11,20,0
311,11,21,0
312,11,22,0
313,11,23,0
314,11,24,0
315,11,25,0
316,11,26,0
317,11,27,0
318,11,28,0
319,11,29,0
320,12,1,1
321,12,2,1
322,12,3,1
323,12,4,1
324,12,5,1
325,12,6,1
326,12,7,0
327,12,8,0
328,12,9,0
329,12,10,0
330,12,11,0
331,12,12,0
332,12,13,0
333,12,14,0
334,12,15,0
335,12,16,0
336,12,17,0
337,12,18,0
338,12,19,0
339,12,20,0
340,12,21,0
341,12,22,0
342,12,23,0
343,12,24,0
344,12,25,0
345,12,26,0
346,12,27,0
347,12,28,0
