feature_set,feature_count,overall_r2,mean_target_r2,median_target_r2,flat_rmse,flat_mae,evaluated_target_count,negative_target_fraction
composition_pca5_plus_log_en,6,0.8158908811822289,0.8112650239255008,0.8479313419017225,4.59894693357618,2.5810205769507295,199,0.010050251256281407
major_species_plus_log_en,14,0.8155381610716416,0.8109034415005772,0.847956127778937,4.604164594739881,2.583167776548888,199,0.010050251256281407
full_nonconstant_plus_log_en,36,0.8133300690295934,0.80863986975898,0.8459469823802919,4.6329636246638755,2.5963177350150897,199,0.010050251256281407
full_nonconstant_plus_raw_en,36,0.1775491010790679,0.15688450562879316,0.15266816808357186,10.025230122800457,6.225261206584875,199,0.04522613065326633
