reaction_id,reaction_label,cluster_id,nonzero_fraction,active_density_group_count
1,AR3S-ELASTIC,0,1.0,21
2,AR3S > AR4SM,0,0.7931034482758621,21
3,AR3S > AR4SR,0,0.7931034482758621,21
4,AR3S > AR4SPM,0,0.7931034482758621,21
5,AR3S > AR4SPR,0,0.7931034482758621,21
6,AR3S > AR4P,0,0.7931034482758621,21
7,AR3S > AR3D,0,0.7931034482758621,21
8,AR3S > AR5S,0,0.7931034482758621,21
9,AR3S > AR5P,0,0.7931034482758621,21
10,AR3S > AR4D,0,0.7931034482758621,21
11,AR3S > AR6S,0,0.7931034482758621,21
12,AR3S > AR-RYD,0,0.7586206896551724,21
13,AR3S > AR^,0,0.7586206896551724,21
14,AR3S > AR^^,0,0.4482758620689655,21
15,AR4SM-ELASTIC,0,1.0,21
16,AR4SM > AR3S,0,1.0,21
17,AR4SM > AR4SR,0,1.0,21
18,AR4SM > AR4SPM,0,1.0,21
19,AR4SM > AR4SPR,0,1.0,21
20,"AR4SM>AR4P,3D,5S,5P",0,0.9655172413793104,21
21,"AR4SM > AR4D,6S,RYD",0,0.8275862068965517,21
22,AR4SM > AR^,0,0.8275862068965517,21
23,AR4SR-ELASTIC,0,1.0,21
24,AR4SR > AR3S,0,1.0,21
25,AR4SR > AR4SM,0,1.0,21
26,AR4SR > AR4SPM,0,1.0,21
27,AR4SR > AR4SPR,0,1.0,21
28,"AR4SR>AR4P,3D,5S,5P",0,0.9655172413793104,21
29,"AR4SR > AR4D,6S,RYD",0,0.8275862068965517,21
30,AR4SR > AR^,0,0.8275862068965517,21
31,AR4SPM-ELASTIC,0,1.0,21
32,AR4SPM > AR3S,0,1.0,21
33,AR4SPM > AR4SM,0,1.0,21
34,AR4SPM > AR4SR,0,1.0,21
35,AR4SPM > AR4SPR,0,1.0,21
36,"AR4SPM>AR4P,3D,5S,5P",0,0.9655172413793104,21
37,"AR4SPM > AR4D,6S,RYD",0,0.8275862068965517,21
38,AR4SPM > AR^,0,0.8275862068965517,21
39,AR4SPR-ELASTIC,0,1.0,21
40,AR4SPR > AR3S,0,1.0,21
41,AR4SPR > AR4SM,0,1.0,21
42,AR4SPR > AR4SR,0,1.0,21
43,AR4SPR > AR4SPM,0,1.0,21
44,"AR4SPR>AR4P,3D,5S,5P",0,0.9655172413793104,21
45,"AR4SPR > AR4D,6S,RYD",0,0.8275862068965517,21
46,AR4SPR > AR^,0,0.8275862068965517,21
47,AR4P-ELASTIC,0,1.0,21
48,AR4P > AR3S,0,1.0,21
49,AR4P > AR4SM,0,1.0,21
50,AR4P > AR4SR,0,1.0,21
51,AR4P > AR4SPM,0,1.0,21
52,AR4P > AR4SPR,0,1.0,21
53,"AR4P > AR4D,6S,RYD",0,0.9655172413793104,21
54,AR4P > AR^,0,0.8275862068965517,21
55,AR4D-ELASTIC,0,1.0,21
56,AR4D > AR3S,0,1.0,21
57,AR4D > AR4SM,0,1.0,21
58,AR4D > AR4SR,0,1.0,21
59,AR4D > AR4SPM,0,1.0,21
60,AR4D > AR4SPR,0,1.0,21
61,"AR4D > AR4P,3D,5S,5P",0,1.0,21
62,AR4D > AR^,0,0.9655172413793104,21
63,AR+ -ELASTIC,0,1.0,21
64,AR+ -RECOMBINATION,0,1.0,21
65,AR+ IONIZATION,0,0.6896551724137931,21
66,AR2+ -MOMTIC,0,1.0,21
