cluster_id,input_01_e,input_02_ar3s,input_03_ar4sm,input_04_ar4sr,input_05_ar4spm,input_06_ar4spr,input_07_ar4p,input_08_ar4d,input_09_ar,input_10_ar2,input_11_ar2,input_12_h,input_13_h,input_14_h,input_15_h,input_16_h2,input_17_h2,input_18_h2,input_19_h3,input_20_oh,input_21_oh,input_22_oh,input_23_oh,input_24_h2o,input_25_h2ov,input_26_h2o,input_27_ho2,input_28_h2o2,input_29_h3o,input_30_o2,input_31_o2,input_32_o2,input_33_o,input_34_o,input_35_o
0,5.6310013630000005e-08,0.98,1.7146666666666667e-07,3.3113333333333335e-07,3.8283333333333335e-08,2.8206666666666666e-07,3.75e-07,4.933666666666667e-09,1.8036666666666665e-08,1.0946666666666667e-07,3.0369999999999997e-09,5.565333333333333e-06,3.257533333333333e-11,2.1738333333333334e-13,1.755e-09,2.2274666666666664e-06,1.4969443333333333e-11,1.8991966666666666e-13,5.670296666666666e-13,6.744e-07,2.108e-09,1.2403333333333333e-12,1.3323333333333334e-08,0.01999,9.193333333333333e-07,1.0196680296666667e-08,2.0296673536666667e-09,4.133339266666666e-06,4.247e-08,2.098666667052e-07,3.1323460666666664e-13,8.51666666667011e-13,1.2889607333333332e-07,7.0797766666666665e-15,2.3546666666666664e-09
1,1.4782500000000002e-07,0.979975,7.12775e-07,1.456125e-06,1.625e-07,1.177325e-06,6.9785e-07,9.039625e-09,1.62975e-08,9.038625000000001e-07,3.493e-09,3.9245e-05,2.2510125e-09,1.1586875e-12,5.009625e-09,7.101625e-06,6.047625000000001e-10,3.5856249999999997e-13,1.6680625e-11,2.5061375000000002e-05,2.74585e-07,2.353375e-12,3.7095875e-07,0.0199225,2.395625e-05,1.17975e-08,6.629625e-09,1.240875e-05,5.489875e-07,6.29025e-07,7.43775e-12,4.50125e-12,4.17425e-07,1.887875e-14,5.68175e-08
2,1.419e-07,0.98,6.89175e-07,1.40725e-06,1.571e-07,1.1383e-06,6.839625e-07,8.718625e-09,1.593125e-08,8.980625e-07,3.44125e-09,2.4011e-05,1.07566375e-09,6.594875e-13,4.8098749999999996e-09,4.603125e-07,2.42025e-11,2.1926374999999997e-14,1.25260125e-12,2.46615e-05,2.573225e-07,2.275375e-12,3.69155e-07,0.01995,2.3407e-05,1.1535e-08,3.1694525e-12,1.1028624999999999e-08,5.408625e-07,1.4063494999999999e-11,7.8062925e-15,3.24191143375e-17,2.9026225e-08,1.21166875e-15,5.591625e-08
3,1.101e-07,0.9799,4.4749999999999995e-07,9.4365e-07,1.0375e-07,7.4555e-07,1.351e-07,2.803e-09,1.8155e-09,8.177e-07,7.9345e-10,5.6699999999999996e-05,4.2110000000000005e-09,2.646e-13,3.5384999999999997e-09,4.2494e-06,5.948500000000001e-10,2.5284e-14,1.5852e-11,5.0469999999999996e-05,3.9345e-07,7.4605e-14,6.613e-07,0.019885,4.5385e-05,2.3175e-09,3.948464999999999e-09,6.24307e-06,8.7295e-07,3.1439640000000003e-07,5.4454e-12,4.10415925e-12,2.9795e-07,2.85665e-16,1.0300000000000001e-07
