target_column,reaction_id,reaction_label,nonzero_fraction,active_case_count,active_density_group_count,is_always_zero,is_always_nonzero,min_first_active_local_case,median_first_active_local_case,max_first_active_local_case,median_last_active_local_case,mean_active_local_case_count
rate_const_001,1,AR3S-ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_015,15,AR4SM-ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_016,16,AR4SM > AR3S,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_017,17,AR4SM > AR4SR,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_018,18,AR4SM > AR4SPM,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_019,19,AR4SM > AR4SPR,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_023,23,AR4SR-ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_024,24,AR4SR > AR3S,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_025,25,AR4SR > AR4SM,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_026,26,AR4SR > AR4SPM,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_027,27,AR4SR > AR4SPR,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_031,31,AR4SPM-ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_032,32,AR4SPM > AR3S,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_033,33,AR4SPM > AR4SM,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_034,34,AR4SPM > AR4SR,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_035,35,AR4SPM > AR4SPR,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_039,39,AR4SPR-ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_040,40,AR4SPR > AR3S,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_041,41,AR4SPR > AR4SM,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_042,42,AR4SPR > AR4SR,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_043,43,AR4SPR > AR4SPM,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_047,47,AR4P-ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_048,48,AR4P > AR3S,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_049,49,AR4P > AR4SM,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_050,50,AR4P > AR4SR,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_051,51,AR4P > AR4SPM,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_052,52,AR4P > AR4SPR,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_055,55,AR4D-ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_056,56,AR4D > AR3S,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_057,57,AR4D > AR4SM,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_058,58,AR4D > AR4SR,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_059,59,AR4D > AR4SPM,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_060,60,AR4D > AR4SPR,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_061,61,"AR4D > AR4P,3D,5S,5P",1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_063,63,AR+ -ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_064,64,AR+ -RECOMBINATION,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_066,66,AR2+ -MOMTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_067,67,AR2+ -RECOMBINATION,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_068,68,H -ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_073,73,H* -ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_074,74,H*  > H,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_078,78,H+ -ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_079,79,H+ -RECOMBINATION,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_080,80,H- -ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_082,82,H2-ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_083,83,H2-ROTATIONAL (0-2),1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_084,84,H2-ROTATIONAL (1-3),1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_085,85,H2 > H2(V=1),1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_093,93,H2* -ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_094,94,H2*  > H2,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_096,96,H2+ -ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_097,97,H2+ > H+ + H,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_098,98,H2+ > H + H,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_099,99,H2+ > H+ + H-,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_100,100,H3+ -ELASTIC,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_102,102,H3+ > H + H2,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_103,103,H3+ > H2 + H,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_104,104,H3+ > H + H + H,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_106,106,OH-MOM TRANS,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
rate_const_126,126,OH- -MOM,1.0,609,21,False,True,1.0,1.0,1.0,29.0,29.0
