feature,total_variance,group_share,local_case_share,interaction_share,dominant_source
total_power_loss_ev_cm3_per_s,8.025254925757578e-12,1.6173764534452763e-11,0.9999999998371207,1.467049518512533e-10,local_case_share
average_electron_energy_ev,9667.816509771188,9.109358289676629e-08,0.9999995260500066,3.8285641054774156e-07,local_case_share
equivalent_electron_temperature_ev,4297.140372942085,9.379557696767093e-08,0.9999995178515827,3.883528400627349e-07,local_case_share
mobility_cm2_per_v_s,12084041318.466269,0.0013936428082540503,0.9957330648443017,0.0028732923474440353,local_case_share
drift_velocity_cm_per_s,2.8593130559865907e+17,0.002480937795759937,0.9941034080255281,0.003415654178711954,local_case_share
updated_electron_density_per_cc,1.9200963922164153e+24,0.023169245742659834,0.9092561085142326,0.06757464574310754,local_case_share
ionization_coefficient_per_cm,1887747194.6264844,0.006813671992863132,0.800280063940541,0.19290626406659606,local_case_share
