split_strategy,model_name,feature_set,overall_r2,mean_target_r2,median_target_r2,flat_rmse,flat_mae,evaluated_target_count,negative_target_fraction
density_group_holdout,random_forest_150,full_nonconstant_plus_log_en,0.9875070985667237,0.9871932065709128,0.999940403604157,0.7125754543844075,0.052421259108175806,199,0.0
density_group_holdout,pls_n8,full_nonconstant_plus_log_en,0.7896023652357974,0.7843159925030284,0.8177018344958737,4.751100546935854,2.6805432868489105,199,0.0
density_group_holdout,ridge_alpha_1,full_nonconstant_plus_log_en,0.7895886023176184,0.7843018837828852,0.8176944241286211,4.7512441027161945,2.679236422118926,199,0.0
local_case_holdout,random_forest_150,full_nonconstant_plus_log_en,0.5788366884904405,0.568254695738944,0.7527720307473398,1.2215223068520829,0.2136958184787626,199,0.10050251256281408
local_case_holdout,ridge_alpha_1,full_nonconstant_plus_log_en,-1713.3080743049725,-1756.3811414985655,-19.470371472938318,4.1038399809307915,2.57439936364254,199,0.9246231155778895
local_case_holdout,pls_n8,full_nonconstant_plus_log_en,-1717.0700445310765,-1760.237633589647,-19.49451909859919,4.105864811273502,2.576196995562799,199,0.9246231155778895
random_case_split,random_forest_150,full_nonconstant_plus_log_en,0.996152168065045,0.9960554888706996,0.9999377524674805,0.3932976242494906,0.022895915339278823,199,0.0
random_case_split,pls_n8,full_nonconstant_plus_log_en,0.8154623466332008,0.8108257221767486,0.8474397244332583,4.60745977007669,2.58700558302137,199,0.010050251256281407
random_case_split,ridge_alpha_1,full_nonconstant_plus_log_en,0.8133300690295934,0.80863986975898,0.8459469823802919,4.6329636246638755,2.5963177350150897,199,0.010050251256281407
