Time[s],Electron Density [m^-3],Argon Density [m^-3],AR4SM,AR4SR,AR4SPM,AR4SPR,AR4P,AR4D,AR+,AR2*,AR2+
3.5303659995378207e-09,740470030336.0,2.3967651441517003e+19,1287827750912.0,2206953111552.0,267634704384.0,1964825903104.0,4635179876352.0,70976307200.0,366084489216.0,435276447744.0,38983229440.0
3.678665150275151e-09,786401001472.0,2.3967651441517003e+19,1400809062400.0,2413559021568.0,292003282944.0,2143930941440.0,4958884200448.0,75326824448.0,380289712128.0,487288963072.0,41277382656.0
3.82899312256768e-09,833644986368.0,2.3967651441517003e+19,1519954296832.0,2632553070592.0,317782753280.0,2333452271616.0,5292761808896.0,79781101568.0,394329227264.0,543621447680.0,43577217024.0
3.981377894035631e-09,882219155456.0,2.3967649242493747e+19,1645419036672.0,2864300425216.0,345012830208.0,2533685723136.0,5636743495680.0,84339113984.0,408213192704.0,604490629120.0,45878505472.0
4.135847664343828e-09,932140744704.0,2.3967649242493747e+19,1777359912960.0,3109168349184.0,373733490688.0,2744927911936.0,5990760579072.0,89000943616.0,421951340544.0,670117920768.0,48177688576.0
4.292430411112491e-09,983427121152.0,2.396764704347049e+19,1915934998528.0,3367526727680.0,403984875520.0,2967476895744.0,6354745425920.0,93766746112.0,435553271808.0,740729618432.0,50471800832.0
4.451155444229471e-09,1036095848448.0,2.3967644844447236e+19,2061303545856.0,3639746494464.0,435807420416.0,3201632043008.0,6728630927360.0,98636800000.0,449028390912.0,816556867584.0,52758425600.0
4.612052073582618e-09,1090164817920.0,2.3967644844447236e+19,2213625987072.0,3926200680448.0,469241659392.0,3447693508608.0,7112351547392.0,103611498496.0,462386003968.0,897835663360.0,55035637760.0
4.77514960905978e-09,1145651986432.0,2.396764264542398e+19,2373063802880.0,4227262840832.0,504328355840.0,3705962496000.0,7505842798592.0,108691349504.0,475635286016.0,984806719488.0,57301966848.0
4.940479136905651e-09,1202575900672.0,2.396764264542398e+19,2539779784704.0,4543308890112.0,541108338688.0,3976739946496.0,7909042290688.0,113877008384.0,488785346560.0,1077715468288.0,59556339712.0
5.108069967008077e-09,1260955500544.0,2.3967640446400725e+19,2713937510400.0,4874715529216.0,579622600704.0,4260328374272.0,8321888681984.0,119169245184.0,501845262336.0,1176812257280.0,61798051840.0
5.277954073790169e-09,1320809660416.0,2.396763824737747e+19,2895701082112.0,5221858672640.0,619912298496.0,4557029507072.0,8744322727936.0,124568993792.0,514823979008.0,1282351955968.0,64026738688.0
5.4501620994074065e-09,1382158172160.0,2.396763604835422e+19,3085236436992.0,5585117380608.0,662018588672.0,4867145859072.0,9176287805440.0,130077335552.0,527730442240.0,1394594414592.0,66242322432.0
5.624726018282899e-09,1445021220864.0,2.396763604835422e+19,3282709774336.0,5964868616192.0,705982627840.0,5190979682304.0,9617729912832.0,135695507456.0,540573564928.0,1513804136448.0,68444999680.0
5.801678248928965e-09,1509419122688.0,2.396763384933096e+19,3488288342016.0,6361490915328.0,751845769216.0,5528832442368.0,10068595572736.0,141424902144.0,553362128896.0,1640249950208.0,70635200512.0
5.981051653947133e-09,1575373111296.0,2.3967631650307703e+19,3702140174336.0,6775362813952.0,799649300480.0,5881006129152.0,10528835502080.0,147267108864.0,566104948736.0,1774205534208.0,72813576192.0
6.162878651849723e-09,1642904551424.0,2.3967629451284447e+19,3924433829888.0,7206861799424.0,849434574848.0,6247800635392.0,10998403563520.0,153223888896.0,578810806272.0,1915949023232.0,74980958208.0
6.347193437505893e-09,1712035594240.0,2.396762725226119e+19,4155338653696.0,7656366407680.0,901242814464.0,6629516902400.0,11477256765440.0,159297159168.0,591488352256.0,2065763270656.0,77138362368.0
6.5340297616955914e-09,1782789046272.0,2.396762725226119e+19,4395025301504.0,8124252028928.0,955115438080.0,7026453774336.0,11965352116224.0,165489049600.0,604146237440.0,2223935324160.0,79286943744.0
6.723422263377187e-09,1855187845120.0,2.3967625053237936e+19,4643663904768.0,8610896150528.0,1011093536768.0,7438909571072.0,12462655012864.0,171801919488.0,616792981504.0,2390756687872.0,81427996672.0
6.915406025598258e-09,1929256239104.0,2.396762285421468e+19,4901426429952.0,9116674162688.0,1069218398208.0,7867181039616.0,12969129803776.0,178238275584.0,629437235200.0,2566523191296.0,83562930176.0
7.110016131406382e-09,2005018345472.0,2.3967620655191425e+19,5168484057088.0,9641958309888.0,1129531047936.0,8311563354112.0,13484747128832.0,184800886784.0,642087321600.0,2751534989312.0,85693267968.0
7.3072889961167675e-09,2082499592192.0,2.396761845616817e+19,5445009801216.0,10187122409472.0,1192072577024.0,8772351164416.0,14009479725056.0,191492685824.0,654751760384.0,2946096168960.0,87820615680.0
7.507260590955411e-09,2161725669376.0,2.3967614058121654e+19,5731176677376.0,10752538705920.0,1256883879936.0,9249835974656.0,14543305572352.0,198316916736.0,667438809088.0,3150515273728.0,89946669056.0
7.70996777532673e-09,2242723184640.0,2.3967611859098403e+19,6027158224896.0,11338574200832.0,1324005588992.0,9744308764672.0,15086203699200.0,205276954624.0,680156790784.0,3365104779264.0,92073172992.0
7.915448740902774e-09,2325519794176.0,2.3967609660075147e+19,6333127983104.0,11945597992960.0,1393478467584.0,10256057892864.0,15638161522688.0,212376502272.0,692914028544.0,3590180569088.0,94201978880.0
8.12373990299875e-09,2410143285248.0,2.396760746105189e+19,6649261064192.0,12573974986752.0,1465342885888.0,10785368571904.0,16199166459904.0,219619442688.0,705718517760.0,3826062721024.0,96334954496.0
8.33488211782196e-09,2496622493696.0,2.3967605262028636e+19,6975731531776.0,13224069038080.0,1539639345152.0,11332527063040.0,16769212219392.0,227009953792.0,718578581504.0,4073075245056.0,98474049536.0
8.548911800687618e-09,2584987566080.0,2.3967600863982125e+19,7312714498048.0,13896239808512.0,1616407691264.0,11897814384640.0,17348296704000.0,234552459264.0,731502084096.0,4331545559040.0,100621238272.0
8.765869807803028e-09,2675269173248.0,2.3967598664958874e+19,7660386648064.0,14590845911040.0,1695688163328.0,12481508409344.0,17936420962304.0,242251661312.0,744497152000.0,4601804226560.0,102778544128.0
8.985796995375493e-09,2767498772480.0,2.3967596465935614e+19,8018922569728.0,15308242812928.0,1777520345088.0,13083885961216.0,18533589188608.0,250112524288.0,757571780608.0,4884185219072.0,104948047872.0
9.208732443255483e-09,2861708869632.0,2.3967592067889103e+19,8388498948096.0,16048782835712.0,1861943558144.0,13705221767168.0,19139815014400.0,258140291072.0,770733834240.0,5179025915904.0,107131838464.0
9.434717007650305e-09,2957933019136.0,2.3967589868865847e+19,8769292992512.0,16812817252352.0,1948997517312.0,14345786359808.0,19755113119744.0,266340515840.0,783991177216.0,5486667104256.0,109332045824.0
9.663794209302525e-09,3056206348288.0,2.396758766984259e+19,9161481912320.0,17600692092928.0,2038721019904.0,15005848174592.0,20379498184704.0,274719014912.0,797351739392.0,5807451668480.0,111550849024.0
9.89600579259786e-09,3156564508672.0,2.396758327179608e+19,9565242392576.0,18412749193216.0,2131152994304.0,15685671452672.0,21012997472256.0,283281948672.0,810823319552.0,6141726687232.0,113790459904.0
1.0131393501922048e-08,3260329230336.0,2.396757887374957e+19,9982597660672.0,19251840679936.0,2226672631808.0,16387996123136.0,21666266611712.0,292199104512.0,825574686720.0,6489889570816.0,116063903744.0
1.0370001746196069e-08,3367284244480.0,2.3967576674726314e+19,10413623214080.0,20118457286656.0,2325320302592.0,17113111592960.0,22336914849792.0,301440237568.0,841167405056.0,6852539580416.0,118417768448.0
1.0611874934340904e-08,3476357644288.0,2.3967572276679803e+19,10856958001152.0,21010900320256.0,2426855489536.0,17859247865856.0,23015685357568.0,310870245376.0,856577802240.0,7230057873408.0,120840462336.0
1.0857056587099125e-08,3587597139968.0,2.396756787863329e+19,11312772939776.0,21929463382016.0,2531312271360.0,18626627239936.0,23702693478400.0,320498073600.0,871858896896.0,7622791004160.0,123317256192.0
1.110559288974855e-08,3701051490304.0,2.3967565679610036e+19,11781236850688.0,22874442170368.0,2638724726784.0,19415473061888.0,24398058749952.0,330332930048.0,887058399232.0,8031088672768.0,125837852672.0
1.1357529139388587e-08,3816770764800.0,2.3967561281563525e+19,12262524846080.0,23846126092288.0,2749127458816.0,20226007629824.0,25101896515584.0,340384251904.0,902219235328.0,8455302152192.0,128395534336.0
1.1612912409475484e-08,3934805295104.0,2.3967556883517014e+19,12756807843840.0,24844800360448.0,2862554546176.0,21058444853248.0,25814324215808.0,350661836800.0,917379809280.0,8895784288256.0,130986393600.0
1.187178888528706e-08,4055207247872.0,2.3967552485470503e+19,13264260956160.0,25870750187520.0,2979039543296.0,21913002835968.0,26535465582592.0,361175711744.0,932574855168.0,9352891072512.0,133608734720.0
1.213420830481482e-08,4178029838336.0,2.396754808742399e+19,13785059295232.0,26924260786176.0,3098616528896.0,22789893390336.0,27265440153600.0,371936296960.0,947835371520.0,9826978496512.0,136262565888.0
1.2400216853336588e-08,4303327592448.0,2.396754368937748e+19,14319379021824.0,28005611077632.0,3221319319552.0,23689328328704.0,28004367466496.0,382954274816.0,963189473280.0,10318405173248.0,138949181440.0
1.2669865157022286e-08,4431156871168.0,2.396753929133097e+19,14867397345280.0,29115079983104.0,3347181207552.0,24611513171968.0,28752369156096.0,394240753664.0,978662588416.0,10827529715712.0,141670875136.0
1.294320295386342e-08,4561574559744.0,2.3967534893284454e+19,15429293572096.0,30252940132352.0,3476236271616.0,25556651343872.0,29509568954368.0,405807136768.0,994277654528.0,11354711785472.0,144430645248.0
1.322027998185149e-08,4694640951296.0,2.3967530495237947e+19,16005247008768.0,31419464155136.0,3608517279744.0,26524950462464.0,30276092690432.0,417665253376.0,1010055577600.0,11900313141248.0,147231981568.0
1.3501146867156422e-08,4830386978816.0,2.3967526097191436e+19,16595452690432.0,32614924681216.0,3744059621376.0,27516616048640.0,31051929878528.0,429824245760.0,1025986854912.0,12464694493184.0,150078570496.0
1.3785857788661817e-08,4968728756224.0,2.3967519500121674e+19,17200219947008.0,33839655157760.0,3882914152448.0,28531981549568.0,31836707225600.0,442282639360.0,1041957453824.0,13048209211392.0,152970969088.0
1.4074462484359174e-08,5109717139456.0,2.396751510207516e+19,17819756396544.0,35093915631616.0,4025116524544.0,29571256680448.0,32630565240832.0,455052918784.0,1057995030528.0,13651210665984.0,155908341760.0
1.436701690948894e-08,5253424480256.0,2.396750850500539e+19,18454241345536.0,36377936789504.0,4170696884224.0,30634615504896.0,33433671696384.0,468149534720.0,1074141855744.0,14274050129920.0,158892015616.0
1.4663572578399453e-08,5399924703232.0,2.396750410695888e+19,19103850954752.0,37691940929536.0,4319685902336.0,31722227892224.0,34246196461568.0,481587298304.0,1090434760704.0,14917080973312.0,161924956160.0
1.4964186334509577e-08,5549293305856.0,2.396749970891237e+19,19768769773568.0,39036160835584.0,4472113725440.0,32834261614592.0,35068301017088.0,495381413888.0,1106906185728.0,15580654469120.0,165011226624.0
1.5268911468524493e-08,5697410957312.0,2.3967493111842603e+19,20441802473472.0,40400366600192.0,4626647613440.0,33961063481344.0,35859340460032.0,508974956544.0,1119875760128.0,16264862892032.0,168107409408.0
1.557780748839832e-08,5837864042496.0,2.3967486514772836e+19,21110185787392.0,41765004378112.0,4780808732672.0,35084633636864.0,36557553664000.0,521502294016.0,1124601954304.0,16968244527104.0,170944512000.0
1.5890927684836242e-08,5971263356928.0,2.3967482116726325e+19,21772644646912.0,43125921808384.0,4934175031296.0,36201708912640.0,37170685411328.0,533059338240.0,1123000647680.0,17688829100032.0,173303463936.0
1.6208334230327637e-08,6098223366144.0,2.3967477718679814e+19,22428199682048.0,44479595675648.0,5086393139200.0,37309550428160.0,37706843291648.0,543742590976.0,1116689137664.0,18424736514048.0,175087616000.0
1.6530080415577686e-08,6219276746752.0,2.3967471121610047e+19,23075976380416.0,45822838308864.0,5237144813568.0,38405694029824.0,38173505748992.0,553636921344.0,1106958745600.0,19174164267008.0,176281272320.0
1.6856230189432608e-08,6334888017920.0,2.3967466723563536e+19,23715196698624.0,47152784998400.0,5386145366016.0,39487933513728.0,38577559830528.0,562817335296.0,1094834454528.0,19935392694272.0,176919478272.0
1.7186842171668104e-08,6445466648576.0,2.396746012649377e+19,24345162285056.0,48466864635904.0,5533137895424.0,40554293362688.0,38925334740992.0,571350384640.0,1081123864576.0,20706781822976.0,177066246144.0
1.7521974982059874e-08,6551373873152.0,2.396745572844726e+19,24965256577024.0,49762778742784.0,5677895385088.0,41603016163328.0,39222643785728.0,579295248384.0,1066458218496.0,21486760886272.0,176799793152.0
1.7861694345810974e-08,6652932653056.0,2.3967451330400748e+19,25574934315008.0,51038480498688.0,5820214935552.0,42632550023168.0,39474809536512.0,586704879616.0,1051325300736.0,22273834614784.0,176202203136.0
1.8206062435410786e-08,6750430822400.0,2.3967446932354236e+19,26173708959744.0,52292153769984.0,5959918813184.0,43641540182016.0,39686697385984.0,593626726400.0,1036096045056.0,23066572750848.0,175352905728.0
1.8555141423348687e-08,6844127379456.0,2.3967440335284474e+19,26761158983680.0,53522213109760.0,6096850255872.0,44628795457536.0,39862740713472.0,600103387136.0,1021048324096.0,23863612145664.0,174324776960.0
1.8908995258470895e-08,6934256680960.0,2.396743593723796e+19,27336915288064.0,54727261814784.0,6230874521600.0,45593305022464.0,40006995410944.0,606173003776.0,1006385102848.0,24663648370688.0,173182025728.0
1.9267689665980473e-08,7021030014976.0,2.3967431539191448e+19,27900659105792.0,55906100314112.0,6361875218432.0,46534196461568.0,40123127300096.0,611870310400.0,992249708544.0,25465442009088.0,171979309056.0
1.9631293923794143e-08,7104640843776.0,2.3967427141144936e+19,28452119904256.0,57057701003264.0,6489754304512.0,47450756743168.0,40214475046912.0,617226305536.0,978738413568.0,26267810267136.0,170761715712.0
