global_case_id,density_group_id,local_case_id,max_reaction_id,max_reaction_label,max_rate_const,count,min,max,mean,median,std,p01,p05,p25,p50,p75,p95,p99,sum,zero_count,nonzero_count,positive_count,negative_count,unique_count
21,1,21,63,AR+ -ELASTIC,1.9e-05,204.0,0.0,1.9e-05,1.175073073141715e-06,1.2515e-09,4.459179697171276e-06,0.0,5.417100000000009e-15,5.1035e-11,1.2515e-09,5.3925e-08,1.9e-05,1.9e-05,0.00023971490692090987,5.0,199.0,199.0,0.0,182.0
22,1,22,80,H- -ELASTIC,1.826e-05,204.0,0.0,1.826e-05,1.1318806942847443e-06,1.3225e-09,4.282899603879281e-06,0.0,1.1474550000000018e-14,5.133e-11,1.3225e-09,5.6545e-08,1.825e-05,1.825e-05,0.00023090366163408784,5.0,199.0,199.0,0.0,183.0
23,1,23,80,H- -ELASTIC,1.76e-05,204.0,0.0,1.76e-05,1.0938904307215974e-06,1.4145e-09,4.127609379752506e-06,0.0,2.955250000000003e-14,6.569e-11,1.4145e-09,5.8205e-08,1.759e-05,1.759e-05,0.00022315364786720584,5.0,199.0,199.0,0.0,182.0
24,1,24,80,H- -ELASTIC,1.698e-05,204.0,0.0,1.698e-05,1.057710135749563e-06,1.645e-09,3.979587278999548e-06,0.0,7.961000000000003e-14,6.79175e-11,1.645e-09,5.80425e-08,1.696e-05,1.696e-05,0.00021577286769291086,5.0,199.0,199.0,0.0,183.0
25,1,25,80,H- -ELASTIC,1.616e-05,204.0,0.0,1.616e-05,1.0106589210405433e-06,1.8235000000000002e-09,3.7866864784584155e-06,0.0,1.8870000000000002e-13,9.73575e-11,1.8235000000000002e-09,5.86675e-08,1.614e-05,1.614e-05,0.00020617441989227085,5.0,199.0,199.0,0.0,183.0
26,1,26,80,H- -ELASTIC,1.543e-05,204.0,0.0,1.543e-05,9.683298440059355e-07,1.941e-09,3.6128291898104837e-06,0.0,1.84935e-13,1.0694000000000001e-10,1.941e-09,6.12625e-08,1.54e-05,1.54e-05,0.00019753928817721085,5.0,199.0,199.0,0.0,182.0
27,1,27,80,H- -ELASTIC,1.307e-05,204.0,0.0,1.307e-05,8.314269787264742e-07,2.8415e-09,3.0476442817883148e-06,0.0,5.88725e-13,1.6444999999999999e-10,2.8415e-09,6.473e-08,1.299e-05,1.2999699999999999e-05,0.00016961110366020074,5.0,199.0,199.0,0.0,183.0
28,1,28,80,H- -ELASTIC,1.13e-05,204.0,0.0,1.13e-05,7.290124945602975e-07,3.814e-09,2.6213467571405243e-06,0.0,1.0959000000000002e-12,2.0909999999999998e-10,3.814e-09,6.457500000000001e-08,1.117e-05,1.1179699999999999e-05,0.0001487185488903007,5.0,199.0,199.0,0.0,181.0
29,1,29,80,H- -ELASTIC,9.947e-06,204.0,0.0,9.947e-06,6.505541742877482e-07,4.112e-09,2.2928719393279763e-06,0.0,1.0873150000000006e-12,2.31925e-10,4.112e-09,6.347e-08,9.763e-06,9.77088e-06,0.00013271305155470063,5.0,199.0,199.0,0.0,186.0
30,2,1,63,AR+ -ELASTIC,0.004405,204.0,0.0,0.004405,0.0002591403241424061,0.0,0.0010364649241738516,0.0,0.0,0.0,0.0,1.292e-09,0.004405,0.004405,0.05286462612505085,118.0,86.0,86.0,0.0,67.0
31,2,2,63,AR+ -ELASTIC,0.0044,204.0,0.0,0.0044,0.0002588462051120188,0.0,0.0010352884539319616,0.0,0.0,0.0,0.0,1.296e-09,0.0044,0.0044,0.05280462584285184,106.0,98.0,98.0,0.0,79.0
32,2,3,63,AR+ -ELASTIC,0.004357,204.0,0.0,0.004357,0.00025631677452462345,0.0,0.0010251708115841891,0.0,0.0,0.0,0.0,1.3225e-09,0.004357,0.004357,0.05228862200302318,105.0,99.0,99.0,0.0,80.0
33,2,4,63,AR+ -ELASTIC,0.003848,204.0,0.0,0.003848,0.00022637532774969431,0.0,0.0009054061734101631,0.0,0.0,0.0,0.0,1.45925e-09,0.003848,0.003848,0.04618056686093764,105.0,99.0,99.0,0.0,80.0
34,2,5,63,AR+ -ELASTIC,0.002271,204.0,0.0,0.002271,0.00013360981869097748,0.0,0.0005343475517342156,0.0,0.0,0.0,0.0,2.354e-09,0.002271,0.002271,0.027256403012959406,105.0,99.0,99.0,0.0,80.0
35,2,6,63,AR+ -ELASTIC,0.0006421,204.0,0.0,0.0006421,3.7792884881735174e-05,9.089e-13,0.00015107679373709497,0.0,0.0,0.0,9.089e-13,7.1434999999999996e-09,0.0006421,0.0006421,0.007709748515873976,82.0,122.0,122.0,0.0,104.0
