bin_floor_log10,bin_start,bin_end_exclusive,count
-24,1e-24,1e-23,29
-22,1e-22,1e-21,29
-20,1e-20,1e-19,29
-19,1e-19,1e-18,29
-18,1e-18,1e-17,87
-17,1e-17,1e-16,174
-16,1e-16,1e-15,232
-15,1e-15,1e-14,348
-14,1e-14,1e-13,899
-13,1e-13,1e-12,841
-12,1e-12,1e-11,1682
-11,1e-11,1e-10,783
-10,1e-10,1e-9,493
-9,1e-9,1e-8,2755
-8,1e-8,1e-7,2204
-7,1e-7,1e-6,5452
-6,1e-6,1e-5,1421
-5,1e-5,1e-4,1711
-2,1e-2,1e-1,609
-1,1e-1,1e0,609
