metric,value
count,29841.0
min,0.0
max,0.98
mean,0.020408414757026604
median,7.716e-10
std,0.13853103772742142
p01,0.0
p05,0.0
p25,0.0
p50,7.716e-10
p75,4.239e-07
p95,4.504e-05
p99,0.98
sum,609.0075047644309
zero_count,9425.0
nonzero_count,20416.0
positive_count,20416.0
negative_count,0.0
unique_count,658.0
