metric,value
count,124236.0
min,0.0
max,0.006326
mean,4.079314121889315e-05
median,5.8705e-10
std,0.0003897862677356053
p01,0.0
p05,0.0
p25,1.126e-12
p50,5.8705e-10
p75,3.723e-08
p95,1.184e-05
p99,0.002232
sum,5.067976692470409
zero_count,16359.0
nonzero_count,107877.0
positive_count,107877.0
negative_count,0.0
unique_count,23003.0
