global_case_id,density_group_id,local_case_id,e_over_n_v_cm2,input_01_e,input_02_ar3s,input_03_ar4sm,input_04_ar4sr,input_05_ar4spm,input_06_ar4spr,input_07_ar4p,input_08_ar4d,input_09_ar,input_10_ar2,input_11_ar2,input_12_h,input_13_h,input_14_h,input_15_h,input_16_h2,input_17_h2,input_18_h2,input_19_h3,input_20_oh,input_21_oh,input_22_oh,input_23_oh,input_24_h2o,input_25_h2ov,input_26_h2o,input_27_ho2,input_28_h2o2,input_29_h3o,input_30_o2,input_31_o2,input_32_o2,input_33_o,input_34_o,input_35_o,input_36_hv_096,input_37_hv_106,input_38_hv_126,input_39_one,input_40_te,input_41_tgas,input_42_eb,input_43_pos,input_44_position,input_45_speed,input_46_edep,input_47_pdep,input_48_m,input_49_mis
24,1,24,3e-15,4.089e-14,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,4.089e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1,25,3.5e-15,4.089e-14,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,4.089e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,26,4e-15,4.089e-14,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,4.089e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1,27,6e-15,4.089e-14,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,4.089e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1,28,8e-15,4.089e-14,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,4.089e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1,29,1e-14,4.089e-14,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,4.089e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2,1,1e-20,8.259e-08,0.98,2.52e-07,4.863e-07,5.622e-08,4.141e-07,5.513e-07,7.217e-09,2.633e-08,1.629e-07,4.465e-09,8.86e-07,2.396e-12,5.185e-14,2.576e-09,2.24e-08,6.833e-14,1.759e-15,5.089e-15,9.662e-07,2.905e-09,1.808e-12,1.97e-08,0.02,1.357e-06,1.493e-08,2.061e-15,1.78e-11,6.262e-08,1.156e-16,3.82e-18,1.033e-24,8.822e-11,3.933e-17,3.475e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2,2,1e-19,8.259e-08,0.98,2.52e-07,4.863e-07,5.622e-08,4.141e-07,5.513e-07,7.217e-09,2.633e-08,1.629e-07,4.465e-09,8.86e-07,2.396e-12,5.185e-14,2.576e-09,2.24e-08,6.833e-14,1.759e-15,5.089e-15,9.662e-07,2.905e-09,1.808e-12,1.97e-08,0.02,1.357e-06,1.493e-08,2.061e-15,1.78e-11,6.262e-08,1.156e-16,3.82e-18,1.033e-24,8.822e-11,3.933e-17,3.475e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2,3,3e-19,8.259e-08,0.98,2.52e-07,4.863e-07,5.622e-08,4.141e-07,5.513e-07,7.217e-09,2.633e-08,1.629e-07,4.465e-09,8.86e-07,2.396e-12,5.185e-14,2.576e-09,2.24e-08,6.833e-14,1.759e-15,5.089e-15,9.662e-07,2.905e-09,1.808e-12,1.97e-08,0.02,1.357e-06,1.493e-08,2.061e-15,1.78e-11,6.262e-08,1.156e-16,3.82e-18,1.033e-24,8.822e-11,3.933e-17,3.475e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2,4,1e-18,8.259e-08,0.98,2.52e-07,4.863e-07,5.622e-08,4.141e-07,5.513e-07,7.217e-09,2.633e-08,1.629e-07,4.465e-09,8.86e-07,2.396e-12,5.185e-14,2.576e-09,2.24e-08,6.833e-14,1.759e-15,5.089e-15,9.662e-07,2.905e-09,1.808e-12,1.97e-08,0.02,1.357e-06,1.493e-08,2.061e-15,1.78e-11,6.262e-08,1.156e-16,3.82e-18,1.033e-24,8.822e-11,3.933e-17,3.475e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2,5,3e-18,8.259e-08,0.98,2.52e-07,4.863e-07,5.622e-08,4.141e-07,5.513e-07,7.217e-09,2.633e-08,1.629e-07,4.465e-09,8.86e-07,2.396e-12,5.185e-14,2.576e-09,2.24e-08,6.833e-14,1.759e-15,5.089e-15,9.662e-07,2.905e-09,1.808e-12,1.97e-08,0.02,1.357e-06,1.493e-08,2.061e-15,1.78e-11,6.262e-08,1.156e-16,3.82e-18,1.033e-24,8.822e-11,3.933e-17,3.475e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2,6,1e-17,8.259e-08,0.98,2.52e-07,4.863e-07,5.622e-08,4.141e-07,5.513e-07,7.217e-09,2.633e-08,1.629e-07,4.465e-09,8.86e-07,2.396e-12,5.185e-14,2.576e-09,2.24e-08,6.833e-14,1.759e-15,5.089e-15,9.662e-07,2.905e-09,1.808e-12,1.97e-08,0.02,1.357e-06,1.493e-08,2.061e-15,1.78e-11,6.262e-08,1.156e-16,3.82e-18,1.033e-24,8.822e-11,3.933e-17,3.475e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2,7,3e-17,8.259e-08,0.98,2.52e-07,4.863e-07,5.622e-08,4.141e-07,5.513e-07,7.217e-09,2.633e-08,1.629e-07,4.465e-09,8.86e-07,2.396e-12,5.185e-14,2.576e-09,2.24e-08,6.833e-14,1.759e-15,5.089e-15,9.662e-07,2.905e-09,1.808e-12,1.97e-08,0.02,1.357e-06,1.493e-08,2.061e-15,1.78e-11,6.262e-08,1.156e-16,3.82e-18,1.033e-24,8.822e-11,3.933e-17,3.475e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2,8,6e-17,8.259e-08,0.98,2.52e-07,4.863e-07,5.622e-08,4.141e-07,5.513e-07,7.217e-09,2.633e-08,1.629e-07,4.465e-09,8.86e-07,2.396e-12,5.185e-14,2.576e-09,2.24e-08,6.833e-14,1.759e-15,5.089e-15,9.662e-07,2.905e-09,1.808e-12,1.97e-08,0.02,1.357e-06,1.493e-08,2.061e-15,1.78e-11,6.262e-08,1.156e-16,3.82e-18,1.033e-24,8.822e-11,3.933e-17,3.475e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2,9,1e-16,8.259e-08,0.98,2.52e-07,4.863e-07,5.622e-08,4.141e-07,5.513e-07,7.217e-09,2.633e-08,1.629e-07,4.465e-09,8.86e-07,2.396e-12,5.185e-14,2.576e-09,2.24e-08,6.833e-14,1.759e-15,5.089e-15,9.662e-07,2.905e-09,1.808e-12,1.97e-08,0.02,1.357e-06,1.493e-08,2.061e-15,1.78e-11,6.262e-08,1.156e-16,3.82e-18,1.033e-24,8.822e-11,3.933e-17,3.475e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
